Name,FGL ID,MLB ID,Team,Position,IN_HOF
Heinie Groh,1005078,115179,Pittsburgh Pirates,3B,No
Orlando Cepeda,1002103,112157,Kansas City Royals,1B,Yes
Sam Rice,1010900,121137,Cleveland Indians,RF,Yes
Tony Lazzeri,1007422,117577,San Francisco Giants,2B,Yes
Cesar Cedeno,1002100,112153,Los Angeles Dodgers,CF,No
Matt Holliday,1873,407812,Colorado Rockies,LF,No
Jason Giambi,818,114739,Cleveland Indians,1B,No
Edd Roush,1011247,121497,Cincinnati Reds,CF,Yes
Larry Doyle,1003467,113531,San Francisco Giants,2B,No
Jimmy Rollins,971,276519,Philadelphia Phillies,SS,No
Ed Konetchy,1007093,117245,Philadelphia Phillies,1B,No
Dave Bancroft,1000503,110524,San Francisco Giants,SS,Yes
Rocky Colavito,1002404,112455,New York Yankees,RF,No
Fred Lynn,1007872,118040,San Diego Padres,CF,No
Joe Mauer,1857,408045,Minnesota Twins,C,No
Luis Aparicio,1000278,110290,Boston Red Sox,SS,Yes
Johnny Evers,1003876,113949,Atlanta Braves,2B,Yes
John McGraw,1008542,118726,San Francisco Giants,3B,No
Curtis Granderson,4747,434158,Miami Marlins,LF,No
Evan Longoria,9368,446334,San Francisco Giants,3B,No
Vern Stephens,1012501,122749,Chicago White Sox,SS,No
Andrew McCutchen,9847,457705,Philadelphia Phillies,LF,No
Brian Downing,1003451,113516,Texas Rangers,DH,No
Hugh Duffy,1003533,113598,Philadelphia Phillies,CF,Yes
Frank Chance,1002131,112183,New York Yankees,1B,Yes
Buck Ewing,1003881,113959,Cincinnati Reds,C,Yes
Joe Sewell,1011766,122023,New York Yankees,SS,Yes
Rusty Staub,1012440,122699,New York Mets,OF,No
Moises Alou,261,110189,New York Mets,LF,No
Ian Kinsler,6195,435079,San Diego Padres,2B,No
Ralph Kiner,1006923,117072,Cleveland Indians,LF,Yes
Vada Pinson,1010360,120590,Kansas City Royals,CF,No
George Foster,1004250,114333,Chicago White Sox,LF,No
Dustin Pedroia,8370,456030,Boston Red Sox,2B,No
Tony Phillips,1010300,120522,Oakland Athletics,2B,No
Charlie Keller,1006768,116919,New York Yankees,LF,No
Travis Jackson,1006314,116445,San Francisco Giants,SS,Yes
J.D. Drew,1152,136770,Boston Red Sox,RF,No
Lave Cross,1002808,112867,Minnesota Twins,3B,No
Toby Harrah,1005384,115497,Texas Rangers,3B,No
Jimmy Ryan,1011341,121588,Minnesota Twins,OF,No
Joe Judge,1006644,116786,Boston Red Sox,1B,No
Cupid Childs,1002186,112242,Chicago Cubs,2B,No
Pete Browning,1001554,111610,Los Angeles Dodgers,CF,No
Mark Grace,56,115007,Arizona Diamondbacks,1B,No
Fred Tenney,1012916,123188,Atlanta Braves,1B,No
Nellie Fox,1004281,114361,Houston Astros,2B,Yes
Larry Gardner,1004528,114617,Cleveland Indians,3B,No
Fielder Jones,1006555,116685,Chicago White Sox,CF,No
