Name,FGL ID,MLB ID,Team,Position,IN_HOF
Charlie Keller,1006768,116919,New York Yankees,LF,False
Travis Jackson,1006314,116445,San Francisco Giants,SS,True
J.D. Drew,1152,136770,Boston Red Sox,RF,False
Lave Cross,1002808,112867,Minnesota Twins,3B,False
Toby Harrah,1005384,115497,Texas Rangers,3B,False
Jimmy Ryan,1011341,121588,Minnesota Twins,OF,False
Joe Judge,1006644,116786,Boston Red Sox,1B,False
Cupid Childs,1002186,112242,Chicago Cubs,2B,False
Pete Browning,1001554,111610,Los Angeles Dodgers,CF,False
Mark Grace,56,115007,Arizona Diamondbacks,1B,False
Fred Tenney,1012916,123188,Atlanta Braves,1B,False
Nellie Fox,1004281,114361,Houston Astros,2B,True
Larry Gardner,1004528,114617,Cleveland Indians,3B,False
Fielder Jones,1006555,116685,Chicago White Sox,CF,False
King Kelly,1006806,116953,San Francisco Giants,RF,True
Art Fletcher,1004149,114232,Philadelphia Phillies,SS,False
Gene Tenace,1012911,123183,Pittsburgh Pirates,C,False
Bert Campaneris,1001868,111916,New York Yankees,SS,False
Hughie Jennings,1006396,116528,Detroit Tigers,SS,True
Kirby Puckett,1010557,120790,Minnesota Twins,CF,True
Bill Freehan,1004315,114399,Detroit Tigers,C,False
George Van Haltren,1013357,123646,San Francisco Giants,CF,False
Ellis Burks,372,111736,Boston Red Sox,CF,False
Jorge Posada,841,120691,New York Yankees,C,False
Mark Teixeira,1281,407893,New York Yankees,1B,False
Ken Singleton,1012011,122272,Baltimore Orioles,OF,False
Dale Murphy,1009355,119545,Colorado Rockies,CF,False
Paul Hines,1005845,115966,Atlanta Braves,CF,False
Johnny Damon,185,113028,Cleveland Indians,CF,False
Jim Fregosi,1004330,114414,Pittsburgh Pirates,SS,False
Carlos Delgado,1297,113232,New York Mets,1B,False
Sam Thompson,1013024,123303,Detroit Tigers,OF,True
Dolph Camilli,1001860,111905,Boston Red Sox,1B,False
Buddy Myer,1009415,119613,Minnesota Twins,2B,False
Ben Zobrist,7435,450314,Chicago Cubs,RF,False
Mike Tiernan,1013062,123337,San Francisco Giants,OF,False
Bobby Veach,1013388,123681,Minnesota Twins,OF,False
Hardy Richardson,1010909,121153,San Francisco Giants,2B,False
Tony Fernandez,1004002,114079,Toronto Blue Jays,SS,False
Al Oliver,1009773,119983,Toronto Blue Jays,CF,False
Lance Parrish,1010021,120248,Toronto Blue Jays,C,False
Augie Galan,1004440,114525,Oakland Athletics,LF,False
Jake Daubert,1003005,113069,Cincinnati Reds,1B,False
Lou Brock,1001458,111495,St. Louis Cardinals,LF,True
Heinie Manush,1008089,118265,Pittsburgh Pirates,LF,True
George Gore,1004879,114972,St. Louis Cardinals,CF,False
Chuck Klein,1006991,117141,Philadelphia Phillies,RF,True
Babe Herman,1005691,115808,Los Angeles Dodgers,RF,False
Wally Berger,1000875,110904,Philadelphia Phillies,CF,False
Torii Hunter,731,116338,Minnesota Twins,CF,False
Rabbit Maranville,1008099,118276,Atlanta Braves,SS,True
Omar Vizquel,411,123744,Toronto Blue Jays,SS,False
Brett Butler,1001772,111812,Los Angeles Dodgers,CF,False
Jack Fournier,1004264,114343,Atlanta Braves,1B,False
Jose Canseco,1001918,111962,New York Yankees,RF,False
Gil Hodges,1005883,116008,New York Mets,1B,False
Hack Wilson,1014083,124412,Philadelphia Phillies,OF,True
Julio Franco,87,212297,Atlanta Braves,SS,False
Ernie Lombardi,1007718,117880,San Francisco Giants,C,True
Andy Van Slyke,1013363,123653,Philadelphia Phillies,CF,False
Hanley Ramirez,8001,434670,Cleveland Indians,1B,False
Devon White,1013862,124164,Milwaukee Brewers,CF,False
Davey Lopes,1007750,117912,Houston Astros,2B,False
Darryl Strawberry,1012606,122864,New York Yankees,OF,False
Nomar Garciaparra,190,114596,Oakland Athletics,SS,False
Roger Peckinpaugh,1010116,120344,Chicago White Sox,SS,False
Ben Chapman,1002141,112205,Philadelphia Phillies,CF,False
Earle Combs,1002478,112533,New York Yankees,CF,True
Phil Rizzuto,1011011,121257,New York Yankees,SS,True
Carl Crawford,1201,408307,Los Angeles Dodgers,LF,False
Dave Parker,1010000,120225,Toronto Blue Jays,RF,False
Deacon White,1013860,124175,Pittsburgh Pirates,3B,True
Tony Gwynn,1005166,115270,San Diego Padres,RF,True
