id,season,war
1002108,1984,1.6
1002108,1985,0.6
1002108,1986,1.6
1002108,1987,0.0
1003467,1907,-0.5
1003467,1908,3.2
1003467,1909,4.5
1003467,1910,4.3
1003467,1911,5.9
1003467,1912,5.8
1003467,1913,3.7
1003467,1914,2.9
1003467,1915,4.7
1003467,1916,4.1
1003467,1917,1.7
1003467,1918,2.2
1003467,1919,3.9
1003467,1920,3.3
1093,1989,0.0
1093,1990,1.4
1093,1991,2.5
1093,1992,3.1
1093,1993,8.1
1093,1994,3.1
1093,1995,2.2
1093,1996,2.6
1093,1997,4.4
1093,1998,8.1
1093,1999,5.8
1093,2000,3.6
1093,2001,4.6
1093,2002,4.5
1093,2003,2.1
1093,2004,0.7
1093,2005,0.4
1000898,1946,0.5
1000898,1947,1.3
1000898,1948,2.4
1000898,1949,2.5
1000898,1950,6.0
1000898,1951,5.3
1000898,1952,5.8
1000898,1953,5.4
1000898,1954,5.9
1000898,1955,5.2
1000898,1956,6.4
1000898,1957,3.3
1000898,1958,3.5
1000898,1959,4.0
1000898,1960,2.3
1000898,1961,2.2
1000898,1962,0.4
1000898,1963,1.5
1000898,1965,-0.1
1009355,1976,0.0
1009355,1977,-0.2
1009355,1978,-0.6
1009355,1979,0.4
1009355,1980,5.7
1009355,1981,1.7
1009355,1982,6.0
1009355,1983,7.0
1009355,1984,5.6
1009355,1985,4.6
1009355,1986,2.2
1009355,1987,7.1
1009355,1988,2.6
1009355,1989,1.4
1009355,1990,1.6
1009355,1991,0.7
1009355,1992,-0.7
1009355,1993,-0.6
1005458,1922,-0.4
1005458,1923,1.3
1005458,1924,3.5
1005458,1925,2.9
1005458,1926,1.9
1005458,1927,3.2
1005458,1928,4.4
1005458,1929,0.3
1005458,1930,5.6
1005458,1931,2.7
1005458,1932,2.4
1005458,1933,3.3
1005458,1934,3.8
1005458,1935,5.1
1005458,1936,2.9
1005458,1937,4.7
1005458,1938,2.6
1005458,1939,2.1
1005458,1940,0.3
1005458,1941,1.0
1013975,1959,-0.3
1013975,1960,0.4
1013975,1961,1.2
1013975,1962,2.9
1013975,1963,5.9
1013975,1964,4.9
1013975,1965,7.1
1013975,1966,3.6
1013975,1967,4.5
1013975,1968,5.0
1013975,1969,2.8
1013975,1970,6.4
1013975,1971,4.4
1013975,1972,6.5
1013975,1973,2.1
1013975,1974,1.5
1013975,1975,1.7
1013975,1976,-0.3
1013133,1960,0.0
1013133,1961,3.0
1013133,1962,2.0
1013133,1963,4.4
1013133,1964,5.8
1013133,1965,5.2
1013133,1966,6.9
1013133,1967,5.0
1013133,1968,2.6
1013133,1969,3.3
1013133,1970,6.0
1013133,1971,6.9
1013133,1972,3.4
1013133,1973,2.6
1013133,1974,3.2
1013133,1975,1.1
